Gene;Annotation
Sdf2l1;Insulin resistance
Lcn2;age
Cxcl1;age
Tifa;age
Rab51b;age
Nfkbiz;age
Lcnbate1;age
Nrxn3;lipid metab
Mtln;lipid metab
Fabp5;lipid metab
Cyp7a1;lipid metab
Inmt;lipid metab
Gstm4;lipid metab
Gstm3;lipid metab
Chic1;lipid metab
Msmo1;lipid metab
Acss2;lipid metab
Acss4;lipid metab
Cyp8a1;lipid metab
Apoe;lipid metab
Apoa;lipid metab
