Decrease
Ege
Egf10
Hgf
Wnt
Rspo1
Gast
Nog
Pge2
Lgr5
Fgf1
Fgf2
Nrf2
Gclc
Gclm
Txn1
Txnrd1
Tm9sf2
Cd164
Ddx5
P4hb
Lars2
Apom
Cisd2
Cyp2c38
Tbxas1
Ptgis
Cyp4f15
Ces1e
Ces3a
Gstp1
Mgst1
Ugt2b1
Cyp3a11
Alas2
Serpina3k
Cyp4a12b
Inmt
Cat
