,Gene symbol,Task
203,Pdpk1,Target Ctcf
204,Chd3,Target Ctcf
205,Isoc2a,Target Ctcf
206,Ccdc58,Target Ctcf
207,Pip5k1a,Target Ctcf
208,Mthfs,Target Ctcf
209,Hist1h2bj,Target Ctcf
210,Pink1,Target Ctcf
211,Sin3a,Target Ctcf
212,Vav2,Target Ctcf
213,Aftph,Target Ctcf
214,St3gal5,Target Ctcf
215,Thrap3,Target Ctcf
216,Zfp473,Target Ctcf
217,Eogt,Target Ctcf
218,Aars2,Target Ctcf
219,Tmem63b,Target Ctcf
220,Aars,Target Ctcf
221,Fzd5,Target Ctcf
222,Ift122,Target Ctcf
223,Gimap3,Target Ctcf
224,Igfbp3,Target Ctcf
225,Psmd9,Target Ctcf
226,Kcng3,Target Ctcf
227,Ror1,Target Ctcf
228,Sorbs1,Target Ctcf
229,Zswim6,Target Ctcf
230,Hic1,Target Ctcf
231,Emc9,Target Ctcf
232,Smok3b,Target Ctcf
233,Myl12b,Target Ctcf
234,Tpst1,Target Ctcf
235,Gnpat,Target Ctcf
236,Phc2,Target Ctcf
237,Rnf169,Target Ctcf
238,Sbf1,Target Ctcf
239,Osbpl5,Target Ctcf
240,Setbp1,Target Ctcf
241,Cltb,Target Ctcf
242,Nexn,Target Ctcf
243,Marcksl1,Target Ctcf
244,Rgmb,Target Ctcf
245,Acacb,Target Ctcf
246,Fam19a1,Target Ctcf
247,Elovl6,Target Ctcf
248,Rdh5,Target Ctcf
249,Gnb3,Target Ctcf
250,Gng10,Target Ctcf
251,Rab31,Target Ctcf
252,Mllt1,Target Ctcf
253,Tpm1,Target Ctcf
254,Cecr2,Target Ctcf
255,Clip4,Target Ctcf
256,Hnrnpc,Target Ctcf
257,Stom,Target Ctcf
258,Aff4,Target Ctcf
259,Osbpl9,Target Ctcf
260,Pnrc1,Target Ctcf
261,Trpv4,Target Ctcf
262,Fhdc1,Target Ctcf
263,Gls,Target Ctcf
264,Rdh11,Target Ctcf
265,Fermt3,Target Ctcf
266,Cblc,Target Ctcf
267,Nutf2,Target Ctcf
268,Arhgef10l,Target Ctcf
269,Lrch1,Target Ctcf
270,Hip1,Target Ctcf
271,Nrgn,Target Ctcf
272,Lrrk1,Target Ctcf
273,Atg7,Target Ctcf
274,Tub,Target Ctcf
275,Iqce,Target Ctcf
276,Mdm2,Target Ctcf
277,Kctd17,Target Ctcf
278,Bcar3,Target Ctcf
279,Tbl3,Target Ctcf
280,Hpd,Target Ctcf
281,Iqub,Target Ctcf
282,Mcat,Target Ctcf
283,Ppp3r1,Target Ctcf
284,Nxn,Target Ctcf
285,Papd5,Target Ctcf
286,Rnf144a,Target Ctcf
287,Bub1,Target Ctcf
288,Gfi1b,Target Ctcf
289,Rapgef3,Target Ctcf
290,Birc6,Target Ctcf
291,Abcd2,Ageing up regulated
292,Abhd2,Ageing up regulated
293,Acpp,Ageing up regulated
294,Actg1,Ageing up regulated
295,Akna,Ageing up regulated
296,Aldh1b1,Ageing up regulated
297,Alpk1,Ageing up regulated
298,Ang,Ageing up regulated
299,Ano6,Ageing up regulated
300,Anxa5,Ageing up regulated
301,Apba2,Ageing up regulated
302,Apbb1ip,Ageing up regulated
303,Apcs,Ageing up regulated
304,Apol9a,Ageing up regulated
305,Apol9b,Ageing up regulated
306,Asb2,Ageing up regulated
307,Atp11a,Ageing up regulated
308,Atp8a1,Ageing up regulated
309,AW112010,Ageing up regulated
310,Axl,Ageing up regulated
311,B2m,Ageing up regulated
312,Basp1,Ageing up regulated
313,Bgn,Ageing up regulated
314,Bst1,Ageing up regulated
315,Bst2,Ageing up regulated
316,Btg2,Ageing up regulated
317,C130026I21Rik,Ageing up regulated
318,C1qa,Ageing up regulated
319,C1qc,Ageing up regulated
320,C3ar1,Ageing up regulated
321,C4b,Ageing up regulated
322,Ccl2,Ageing up regulated
323,Ccl5,Ageing up regulated
324,Ccl6,Ageing up regulated
325,Ccr2,Ageing up regulated
326,Cd2,Ageing up regulated
327,Cd36,Ageing up regulated
328,Cd44,Ageing up regulated
329,Cd53,Ageing up regulated
330,Cd68,Ageing up regulated
331,Cd74,Ageing up regulated
332,Cd83,Ageing up regulated
333,Cdh19,Ageing up regulated
334,Cdhr5,Ageing up regulated
335,Cdkn2a,Ageing up regulated
336,Chrm3,Ageing up regulated
337,Clca1,Ageing up regulated
338,Clec12a,Ageing up regulated
339,Clec7a,Ageing up regulated
340,Cmpk2,Ageing up regulated
341,Coro1a,Ageing up regulated
342,Cotl1,Ageing up regulated
343,Cp,Ageing up regulated
344,Csf1,Ageing up regulated
345,Csf1r,Ageing up regulated
346,Csf3r,Ageing up regulated
347,Ctbs,Ageing up regulated
348,Ctgf,Ageing up regulated
349,Ctsb,Ageing up regulated
350,Ctss,Ageing up regulated
351,Cxcl1,Ageing up regulated
352,Cxcl10,Ageing up regulated
353,Cxcl13,Ageing up regulated
354,Cxcl9,Ageing up regulated
355,Cybb,Ageing up regulated
356,Ddx58,Ageing up regulated
357,Ddx60,Ageing up regulated
358,Dhcr24,Ageing up regulated
359,Dhx58,Ageing up regulated
360,Dntt,Ageing up regulated
361,Dock10,Ageing up regulated
362,Dock2,Ageing up regulated
363,Dopey2,Ageing up regulated
364,Dpy19l3,Ageing up regulated
365,E2f2,Ageing up regulated
366,Eif2ak2,Ageing up regulated
367,Emp2,Ageing up regulated
368,Entpd1,Ageing up regulated
369,Epsti1,Ageing up regulated
370,Esm1,Ageing up regulated
371,Esr1,Ageing up regulated
372,Evi2b,Ageing up regulated
373,Evl,Ageing up regulated
374,Fam105a,Ageing up regulated
375,Fgl1,Ageing up regulated
376,Filip1l,Ageing up regulated
377,Flna,Ageing up regulated
378,Fmn1,Ageing up regulated
379,Fmnl1,Ageing up regulated
380,Fxyd5,Ageing up regulated
381,Fyb,Ageing up regulated
382,Galns,Ageing up regulated
383,Gbp10,Ageing up regulated
384,Gbp2,Ageing up regulated
385,Gbp3,Ageing up regulated
386,Gbp6,Ageing up regulated
387,Gbp7,Ageing up regulated
388,Gm10639,Ageing up regulated
389,Gm12250,Ageing up regulated
390,Gm5148,Ageing up regulated
391,Gm5424,Ageing up regulated
392,Gngt2,Ageing up regulated
393,Gpx3,Ageing up regulated
394,Gsta1,Ageing up regulated
395,H2-Aa,Ageing up regulated
396,H2-D1,Ageing up regulated
397,H2-Eb1,Ageing up regulated
398,H2-K1,Ageing up regulated
399,H2-M2,Ageing up regulated
400,H2-Q1,Ageing up regulated
401,H2-Q6,Ageing up regulated
402,H2-T23,Ageing up regulated
