Genes
Acaa1b
Ndrg2
Hgd
Gsta3
Tardbp
Acox1
Ces3b
Cluh
Gnmt
Dhdh
Slco1a4
Prkag2
Ankrd33b
Hacl1
Itih2
Hpn
Snord118
C4b
Cyp2d37-ps
Glyctk
Irf6
Gramd1c
Shroom1
Neat1
Lims2
Dmgdh
Evi5
Abcc2
Azgp1
Acox2
Pemt
Acss2
Gstz1
Dcaf11
Pm20d1
H2-Q10
Aspg
Uox
Asl
Fmo5
Gcdh
Sema4g
Abcb4
Prodh2
Apob
Fads6
Zfp445
Masp2
Fasn
Zfp395
Pqlc1
Pck1
Vegfa
Ghr
Lpcat3
C4bp
Kynu
Entpd8
Hgfac
Hyi
Col18a1
Hpd
Pipox
Tfr2
Cfh
Oaf
Slc25a47
Cyp2d26
Slc25a51
Pbld1
Pcyt2
Gucd1
Tmem150a
Grb14
Aspdh
Aadac
Aldh1l1
Abcc6
Upb1
Dlec1
Pbld2
